"id","name","brand"
"18200011","Esso Centre de la France","Esso"
"18300004","GARAGE CROUZET RAC CITROEN","Elan"
"18500007","Esso Bourges Ste Thorette","Esso"
"21530002","perreau carburants","Indépendant sans enseigne"
"19000008","RELAIS TULLE LA SOLANE","Total"
"19150001","AUCHAN","Auchan"
"19340001","EYGURANDE AUTOMOBILES","Avia"
"83520001","STATION TOTAL","Total"
"13013017","RELAIS LOUBIERE","Total Access"
"20115001","SARL L&#039,ARBAGIO","Esso"
"20090001","U STRETTU SARL","VITO"
"70800002","SA DORMOY FRERES","Total"
"14760002","RELAIS BRETTEVILLE SUR ODON","Total Access"
"20090002","SAS STATION ST JOSEPH","Total"
"62780001","SARL GARAGE DE LA COTE OPALE","Total"
"14920001","ESSO MATHIEU","Esso Express"
"62950001","AUCHAN NOYELLES","Auchan"
"50230001","U express","Système U"
"26250003","Esso Livron sur Drôme","Esso"
"51500003","ECOMARCHE","Intermarché Contact"
"43410001","RELAIS DES 2 VALS","Total"
"95150002","Carrefour Market","Carrefour Market"
"74200018","RELAIS DE THONON","Total"
"68500001","EURL DISTRIBUTION CHRISTO","Total"
"22810002","RELAIS PORZ AN PARK","Total"
"73470001","SAS Le Pinet","Avia"
"12100001","GEANT  CASINO","Géant"
"24440001","INTERMARCHE","Intermarché"
"18100010","ESSO EXPRESS VIERZON FORGES","Esso Express"
"56950002","SAS CRACALY    INTERMARCHE","Intermarché"
"19300003","EGLETONS LACHAUD","Total"
"73420004","Leclerc Drive","Leclerc"
"10000019","RELAIS TROYES POMPIDOU","Total Access"
"38440002","CASINO SUPERMARCHE","Casino"
"8000010","RELAIS BAYARD","Total"
"57155002","CENTRE LECLERC MARLYDIS SAS","Leclerc"
"85500003","SARL GARAGE MARTINEAU","Total"
"84470001","ESSO SERVICE DU PLATEAU","Esso"
"37150004","GARAGE DU CHATEAU TOTAL - AM AUTO","Total"
"5100008","RELAIS GDE BOUCLE","Total Access"
"10100003","ESSO BOULE D&#039,OR","Esso Express"
"43750001","GEANT CASINO","Géant"
"26200003","ESSO MEDITERRANEE","Esso Express"
"13009001","HYPER CASINO VALMANTE","Super Casino"
"33340001","EOR LESPARRE RELAIS DU ME","Total"
"82200003","CASINO SUPERMARCHE","Casino"
"78140009","STATION SHELL","Shell"
"45330001","SARL GARAGE THOMAS","Total"
"18230004","LECLERC SAINT DOULCHARD","Leclerc"
"51360001","SARL DE BEAUMONT","Total"
"26000007","ESSO VICTOR HUGO VALENCE","Esso Express"
"94100012","TOTAL carrefour des nations","Total"
"26240003","INTERMARCHE SAINT VALLIER","Netto"
"17300004","INTERMARCHE HYPER","Intermarché"
"58200009","Station Total","Total"
"33250002","EURL LOPEZ CLEMENT","Total"
"29291001","GEANT CASINO","Géant"
"17320003","INTERMARCHE MARENNES","Intermarché"
"31170007","Station AVIA-SARL 2LLS","Avia"
"69009008","RELAIS VALLONNIERE","Total Access"
"21100001","DATS BRETENIERE","Colruyt"
"21110003","ESSO DU CHATEAU","Esso Express"
"87600003","SARL Garage Boulesteix","Avia"
"30390001","CARREFOUR CONTACT","Carrefour Contact"
"21200003","ESSO BEAUNE SUD","Esso Express"
"24470001","SIMPLY MARKET","Simply Market"
"76400009","E.LECLERC","Leclerc"
"21000025","RELAIS DE LA ROCADE","Total"
"4120003","CASINO SUPERMARCHE","Casino"
"26730005","Esso Aire Royans Vercors","Esso"
"79370002","Spar","Supermarchés Spar"
"26300011","RELAIS BOURG DE PEAGE","Total"
"21150002","Venardis sas","Système U"
"13380002","ESSO LES MADETS","Esso Express"
"26200007","INTERMARCHE","Intermarché"
"84110006","Avia - PALPACUER Julien","Avia"
"13751001","GEANT CASINO","Géant"
"14400004","ESSO MONTGOMERY","Esso Express"
"39190006","maximarche","Maximarché"
"13090017","RELAIS PONT DE L&#039,ARC","Total Access"
"4190001","INTERMARCHE LES MEES","Intermarché"
"30150001","SERVOZ JEAN-FRANCOIS","Indépendant sans enseigne"
"27600003","GARAGE POUPARDIN","Elan"
"91270002","INTERMARCHE VIGNEUX","Intermarché"
"25550001","DATS BAVANS","Colruyt"
"14400010","RELAIS DE VAUCELLES","Total Access"
"67270003","INTERMARCHE HOCHFELDEN","Intermarché"
"41600005","INTERMARCHE LAMOTTE BEUVRON","Intermarché"
"22400003","SARL ARMOR AUTO","Total"
"31240003","INTERMARCHE SAINT JEAN","Intermarché"
"2240002","sarl le clair","Total Access"
"57120001","PHILIPPE DEHLINGER","Total"
"81500004","SUPER U LAVAUR SAS GAIA","Système U"
"30900015","RELAIS MAS CHEYLON","Total"
"65000010","RELAIS TARBES URAC","Total Access"
"21540002","SAS POLDER","Netto"
"25000008","ESSO LES 4 VENTS","Esso Express"
"26000008","ESSO CHABEUIL","Esso Express"
"3120004","Aire des verites","Total Access"
"31120010","RELAIS DU PORTET EST","Total Access"
"31120005","ESSO DE CLAIRFONT","Esso Express"
"29260001","SARL YVON ROUDAUT","Total"
"49220003","JM AUTOMOBILES","Total"
"21700005","Relais du poirier au Loup","Total"
"63122001","GARAGE DE THEIX SARL","Esso"
"62700003","INTERMARCHE BRUAY EN ARTOIS","Intermarché"
"85310001","SARL GARAGE DU MOULIN ROUGE","Avia"
"26790002","STATION TOTAL","Total"
"26780007","RELAIS DE LA GIRANE","Total Access"
"28260002","SIMPY MARKET","Simply Market"
"29140006","Shopi","Shopi"
"45130003","MR STANIMIROVIC","Total"
"27300003","SARL LA RENAISSANCE","Elan"
"28160004","ESSO BROU DAMPIERRE","Esso"
"27930008","RELAIS GRAVIGNY","Total Access"
"14130001","MSA PAYS D AUGE SITE DE PONT L&#039,EVE","Total"
"29200010","INTERMARCHE BREST","Intermarché"
"26800007","RELAIS VALENTINOIS","Total"
"30900001","GEANT CASINO","Géant"
"80500001","AUCHAN SUPERMARCHE","Auchan"
"27000005","STE NOUVELLE GARAGE ST SAUVEUR","Total"
"52200012","STATION AVIA SAS PLB","Avia"
"91420002","Sarl STATION RICHARD","Total"
